"B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M","GEO_ID","NAME"
"1320","517","818","471","0","12","37","46","66","89","0","12","11","26","7","11","109","176","7","12","53","86","31","28","113","110","46","40","129","160","71","45","36","40","29","26","0","12","0","12","0","12","33","26","2","4","16","18","22","25","502","149","9","15","14","23","0","12","13","20","33","45","12","28","0","12","8","20","32","34","58","41","52","65","33","37","65","66","8","12","3","5","27","32","0","12","14","16","44","31","18","23","48","32","11","14","0","12","1500000US150030026004","Block Group 4, Census Tract 26, Honolulu County, Hawaii"
"1391","320","669","198","24","32","0","12","0","12","44","42","86","71","46","55","71","73","64","60","112","54","36","42","38","38","9","20","14","20","31","44","54","54","13","15","0","12","0","12","14","15","0","12","5","7","8","12","0","12","722","212","22","30","0","12","47","51","31","43","109","88","55","60","39","31","79","76","74","72","31","36","27","30","0","12","14","19","82","62","19","28","37","38","4","6","0","12","14","23","9","11","5","8","2","4","22","28","1500000US150030027011","Block Group 1, Census Tract 27.01, Honolulu County, Hawaii"
"967","272","517","220","46","41","17","21","11","18","0","12","12","21","0","12","0","12","24","30","26","29","51","45","32","28","43","36","4","6","148","187","18","19","0","12","19","15","5","9","17","16","16","13","18","21","0","12","10","12","450","113","27","30","18","27","20","31","23","27","9","19","0","12","11","12","33","40","66","49","76","39","26","27","25","27","22","22","8","9","18","16","0","12","5","7","0","12","5","8","22","14","10","12","7","10","19","16","1500000US150030027012","Block Group 2, Census Tract 27.01, Honolulu County, Hawaii"
"3314","374","1439","289","0","12","0","12","0","12","21","27","490","225","227","116","249","104","277","136","133","81","17","16","11","25","5","9","0","12","0","12","0","12","0","12","9","13","0","12","0","12","0","12","0","12","0","12","0","12","1875","312","0","12","0","12","0","12","23","39","825","210","299","110","274","119","316","143","90","83","15","21","0","12","0","12","0","12","4","6","0","12","11","16","14","26","0","12","4","9","0","12","0","12","0","12","0","12","1500000US150030027013","Block Group 3, Census Tract 27.01, Honolulu County, Hawaii"
"1181","327","601","204","0","12","29","44","17","40","13","25","46","48","9","20","10","18","19","33","165","95","0","12","46","73","15","25","29","46","52","53","27","43","33","42","12","20","19","31","0","12","60","57","0","12","0","12","0","12","580","189","21","33","0","12","0","12","0","12","18","31","0","12","20","32","0","12","44","49","50","79","31","47","65","66","19","43","79","66","63","91","24","39","0","12","40","36","0","12","66","62","0","12","40","56","0","12","1500000US150030027021","Block Group 1, Census Tract 27.02, Honolulu County, Hawaii"
"867","354","592","250","1","22","1","16","23","40","0","12","46","57","0","12","0","12","43","55","102","76","116","150","1","15","49","74","24","38","34","42","32","41","0","12","15","22","21","34","35","32","0","12","30","33","19","30","0","12","275","148","0","12","0","12","0","12","0","12","16","25","26","43","0","12","0","12","16","25","7","16","1","16","0","12","61","65","21","35","7","17","0","12","0","12","0","12","0","12","53","47","13","22","35","53","19","31","1500000US150030027022","Block Group 2, Census Tract 27.02, Honolulu County, Hawaii"
"1695","463","699","219","34","62","41","57","62","70","0","12","94","87","0","12","0","12","34","42","12","21","43","59","32","57","0","12","18","31","0","12","116","91","0","12","32","36","77","60","18","29","21","35","45","43","20","31","0","12","996","340","48","66","0","12","75","66","92","85","0","12","0","12","13","23","111","106","69","81","75","77","65","58","64","83","42","41","39","46","52","59","0","12","20","31","32","36","77","66","80","61","0","12","15","24","27","32","1500000US150030027023","Block Group 3, Census Tract 27.02, Honolulu County, Hawaii"
"1096","576","362","160","20","36","0","12","0","12","0","12","0","12","0","12","0","12","23","35","0","12","64","50","105","144","16","25","34","54","12","19","26","29","0","12","0","12","0","12","13","20","0","12","33","29","16","26","0","12","734","441","51","46","57","66","81","95","49","76","0","12","0","12","14","22","15","24","17","27","69","54","64","87","0","12","52","46","93","72","12","19","12","19","14","22","0","12","18","28","0","12","0","12","16","26","100","106","1500000US150030027024","Block Group 4, Census Tract 27.02, Honolulu County, Hawaii"
"1670","322","810","189","50","39","66","14","0","12","0","12","52","80","7","11","18","30","58","85","7","12","25","25","63","39","56","35","86","62","21","24","29","26","75","70","7","12","6","10","85","43","66","45","18","21","0","12","15","18","860","181","16","21","30","49","0","12","55","54","19","25","16","35","7","12","15","19","20","24","68","50","84","51","58","36","59","51","32","25","47","37","42","32","45","45","10","16","59","35","92","48","8","15","21","20","57","36","1500000US150030028011","Block Group 1, Census Tract 28.01, Honolulu County, Hawaii"
"493","165","130","65","0","12","0","12","0","12","16","19","0","12","0","12","5","9","0","12","7","15","6","11","4","7","0","12","0","12","36","35","25","25","0","12","16","18","7","11","0","12","8","12","0","12","0","12","0","12","363","132","0","12","0","12","12","18","0","12","12","19","0","12","0","12","0","12","0","12","5","11","15","20","0","12","34","30","49","37","18","21","8","12","32","26","0","12","34","42","0","12","10","16","42","35","92","95","1500000US150030028021","Block Group 1, Census Tract 28.02, Honolulu County, Hawaii"
"1629","262","736","167","18","23","8","14","22","18","32","38","6","11","22","25","62","69","46","49","130","87","21","20","35","43","26","24","50","44","61","46","96","61","0","12","33","40","0","12","31","23","8","11","10","17","0","12","19","21","893","173","7","13","9","15","27","26","71","66","36","41","12","19","5","11","43","50","88","69","48","34","39","39","94","61","12","11","47","37","109","66","19","20","40","34","41","34","13","17","75","48","10","15","48","40","0","12","1500000US150030028022","Block Group 2, Census Tract 28.02, Honolulu County, Hawaii"
"2355","279","1166","136","96","45","98","49","74","39","4","7","22","22","9","12","35","32","38","31","77","64","40","23","146","45","88","58","59","28","71","35","72","32","26","22","31","21","24","22","31","20","68","30","25","19","14","15","18","16","1189","209","71","33","49","23","56","28","19","15","3","7","0","12","3","7","31","30","88","48","107","37","120","50","93","32","76","32","52","25","66","30","11","14","139","159","19","20","45","22","29","21","31","22","18","20","63","32","1500000US150030029001","Block Group 1, Census Tract 29, Honolulu County, Hawaii"
"1064","322","535","192","0","12","65","58","21","25","37","37","0","12","0","12","0","12","0","12","3","5","15","24","39","62","0","12","47","30","24","31","129","128","10","17","22","23","0","12","30","42","15","12","46","55","11","17","21","21","529","166","0","12","24","29","35","24","3","9","0","12","0","12","0","12","3","5","31","34","0","12","12","20","13","19","90","48","26","40","0","12","0","12","101","146","13","22","24","23","19","20","21","23","46","43","68","49","1500000US150030030001","Block Group 1, Census Tract 30, Honolulu County, Hawaii"
"1377","386","538","131","60","44","11","16","22","25","0","12","0","12","0","12","7","12","37","58","13","22","14","18","58","70","7","12","40","31","23","36","15","20","4","11","10","18","11","16","36","34","82","64","36","30","9","15","43","40","839","320","5","13","54","65","0","12","7","12","10","15","0","12","81","126","76","83","123","130","44","37","62","65","36","32","30","27","52","55","55","57","21","21","0","12","5","13","13","16","35","30","24","28","11","17","95","64","1500000US150030030002","Block Group 2, Census Tract 30, Honolulu County, Hawaii"
"1293","334","617","175","33","34","71","48","18","20","35","36","7","11","0","12","0","12","37","34","41","58","21","24","81","72","52","44","17","19","10","13","19","19","0","12","36","39","4","7","33","40","40","26","49","44","0","12","13","19","676","185","56","37","31","35","15","23","24","23","0","12","0","12","0","12","15","21","19","28","19","21","81","43","34","26","39","41","17","19","18","22","1","6","39","47","92","131","43","41","46","33","51","43","0","12","36","31","1500000US150030030003","Block Group 3, Census Tract 30, Honolulu County, Hawaii"
"1084","272","505","150","49","69","16","25","39","30","24","19","0","12","0","12","0","12","19","28","12","18","24","33","29","31","43","34","5","9","26","33","20","19","13","16","32","25","24","28","36","43","57","31","10","15","7","12","20","21","579","169","0","12","53","45","27","30","11","18","0","12","0","12","0","12","0","12","30","28","37","34","0","12","31","28","78","57","44","31","26","24","7","12","34","29","39","24","8","13","7","13","76","52","46","54","25","30","1500000US150030030004","Block Group 4, Census Tract 30, Honolulu County, Hawaii"
"2491","410","1281","288","8","15","52","39","81","41","63","49","6","9","29","33","5","9","35","40","36","27","101","114","55","42","83","51","34","31","73","43","62","49","82","69","22","27","47","32","116","117","80","40","83","45","30","29","98","51","1210","249","32","31","38","28","47","36","43","39","6","11","12","28","0","12","7","14","23","25","19","16","28","23","109","55","51","43","81","58","55","34","75","71","37","26","155","176","35","41","104","55","64","41","49","34","140","67","1500000US150030031021","Block Group 1, Census Tract 31.02, Honolulu County, Hawaii"
"877","193","451","117","17","27","11","17","42","31","0","12","17","20","0","12","10","18","10","18","9","14","24","26","11","16","9","15","37","37","37","26","24","21","0","12","17","21","0","12","31","34","51","80","56","49","38","34","0","12","426","104","0","12","39","38","6","12","34","24","9","14","0","12","0","12","0","12","13","21","0","12","13","19","34","32","28","28","44","28","25","23","40","42","15","17","9","13","20","22","41","43","19","21","25","21","12","18","1500000US150030031022","Block Group 2, Census Tract 31.02, Honolulu County, Hawaii"
"1718","349","950","248","16","27","32","37","6","14","17","19","20","22","8","11","41","56","8","12","72","65","134","67","73","71","26","25","23","25","80","55","61","33","51","33","54","54","43","34","2","8","44","26","27","27","10","15","102","72","768","127","6","9","0","12","55","36","10","15","0","12","0","12","2","10","0","12","28","23","53","70","12","23","13","15","36","26","22","22","87","51","46","28","63","54","24","33","13","17","38","23","27","28","132","80","101","42","1500000US150030031031","Block Group 1, Census Tract 31.03, Honolulu County, Hawaii"
"2624","645","1293","379","87","69","196","152","57","54","35","43","16","23","0","12","0","12","49","51","43","35","67","62","195","165","44","23","34","29","55","49","85","41","57","49","33","22","51","39","25","26","56","28","58","39","19","21","31","30","1331","303","76","57","166","136","40","34","0","12","4","13","0","12","54","47","23","26","0","12","72","58","150","140","63","38","42","33","34","26","106","80","63","48","91","53","52","45","78","41","78","36","51","34","16","16","72","42","1500000US150030031041","Block Group 1, Census Tract 31.04, Honolulu County, Hawaii"
"1826","489","781","205","23","36","36","52","25","27","0","12","0","12","0","12","0","12","10","23","22","34","62","59","142","125","103","66","48","57","83","50","61","97","12","21","19","33","44","54","53","37","38","62","0","12","0","12","0","12","1045","323","42","48","37","53","101","104","0","12","1","4","2","4","0","12","84","93","15","24","82","63","76","62","118","112","33","44","129","130","0","12","23","26","36","40","48","53","76","61","59","65","38","32","0","12","45","57","1500000US150030034041","Block Group 1, Census Tract 34.04, Honolulu County, Hawaii"
"1159","430","577","262","48","75","32","51","0","12","0","12","0","12","0","12","0","12","0","12","127","148","48","76","76","71","44","68","25","31","45","56","11","17","35","38","5","12","10","12","9","11","17","21","15","26","15","16","15","12","582","219","115","120","0","12","0","12","0","12","0","12","0","12","0","12","122","116","45","77","0","12","42","52","0","12","0","12","14","22","12","20","30","30","0","12","17","16","20","23","10","24","40","34","9","11","106","68","1500000US150030034042","Block Group 2, Census Tract 34.04, Honolulu County, Hawaii"
"456","198","241","131","0","12","0","12","40","51","16","28","0","12","0","12","0","12","0","12","48","74","50","41","20","24","12","21","15","25","0","12","18","29","0","12","0","12","11","18","0","12","0","12","0","12","0","12","11","17","215","93","0","12","10","17","10","17","0","12","0","12","0","12","0","12","0","12","30","38","23","27","0","12","10","17","0","12","51","61","0","12","0","12","35","55","0","12","0","12","0","12","35","33","0","12","11","18","1500000US150030034043","Block Group 3, Census Tract 34.04, Honolulu County, Hawaii"
"1558","491","872","321","126","197","13","20","44","69","0","12","18","29","0","12","13","21","11","18","239","170","120","121","18","26","55","62","20","33","84","94","32","50","19","22","0","12","11","20","18","22","29","33","0","12","2","5","0","12","686","232","53","91","18","27","15","24","20","24","5","13","0","12","5","16","131","110","43","73","0","12","81","75","0","12","11","20","60","61","29","37","0","12","11","19","0","12","58","61","31","48","82","103","0","12","33","36","1500000US150030034044","Block Group 4, Census Tract 34.04, Honolulu County, Hawaii"
"989","277","460","185","64","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","40","52","42","54","8","12","0","12","54","54","52","59","24","41","74","75","56","54","13","24","0","12","19","31","14","25","0","12","529","150","0","12","17","31","0","12","0","12","0","12","0","12","0","12","0","12","28","47","23","39","59","58","38","45","65","62","50","55","0","12","41","50","9","14","32","49","96","87","26","33","0","12","14","25","31","36","1500000US150030034081","Block Group 1, Census Tract 34.08, Honolulu County, Hawaii"
"774","204","394","146","26","54","0","12","24","39","0","12","0","12","0","12","0","12","0","12","109","101","11","25","0","12","54","50","28","51","30","61","53","59","0","12","35","47","13","29","0","12","0","12","11","18","0","12","0","12","380","185","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","58","77","0","12","81","66","0","12","58","71","17","29","0","12","98","80","34","46","0","12","0","12","0","12","34","51","0","12","1500000US150030034082","Block Group 2, Census Tract 34.08, Honolulu County, Hawaii"
"1243","371","604","220","0","12","0","12","27","44","17","27","61","70","0","12","0","12","0","12","71","70","32","53","41","46","0","12","0","12","0","12","67","61","15","25","123","121","60","55","62","57","0","12","28","44","0","12","0","12","639","208","19","28","44","69","32","48","0","12","19","29","0","12","25","40","0","12","45","68","38","56","38","43","69","83","46","51","0","12","84","66","75","95","16","27","29","43","0","12","60","58","0","12","0","12","0","12","1500000US150030034091","Block Group 1, Census Tract 34.09, Honolulu County, Hawaii"
"749","244","396","162","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","30","30","48","33","47","0","12","70","107","56","87","25","39","44","65","0","12","59","91","0","12","21","31","0","12","0","12","0","12","39","34","353","198","35","49","0","12","0","12","0","12","0","12","0","12","29","46","59","92","81","100","33","46","15","23","0","12","24","39","24","39","25","37","20","30","0","12","0","12","0","12","0","12","8","14","0","12","0","12","1500000US150030034092","Block Group 2, Census Tract 34.09, Honolulu County, Hawaii"
"1796","484","812","197","133","151","81","77","112","81","0","12","0","12","23","37","0","12","64","80","88","62","97","67","24","39","33","41","5","9","58","60","6","7","0","12","44","35","0","12","11","19","33","46","0","12","0","12","0","12","984","339","0","12","0","12","25","41","0","12","16","25","57","72","34","56","39","78","116","71","147","93","72","81","70","93","58","62","103","74","49","39","14","24","9","18","12","21","6","9","29","37","58","64","36","50","34","44","1500000US150030034101","Block Group 1, Census Tract 34.10, Honolulu County, Hawaii"
"1403","364","691","259","106","95","0","12","0","12","0","12","14","24","0","12","17","28","56","89","20","32","66","77","16","26","134","121","35","55","0","12","29","35","26","30","50","59","14","22","54","41","0","12","27","32","14","23","13","22","712","227","146","100","16","27","0","12","0","12","12","22","0","12","0","12","16","25","33","55","63","79","41","41","44","43","28","31","0","12","74","114","13","20","40","35","16","26","29","33","45","36","53","63","14","24","29","33","1500000US150030034111","Block Group 1, Census Tract 34.11, Honolulu County, Hawaii"
"1842","384","816","182","0","12","88","54","0","12","0","12","0","12","0","12","0","12","0","12","121","82","157","104","72","64","34","44","75","64","125","117","13","23","14","24","16","25","0","12","0","12","18","27","54","49","0","12","29","36","1026","249","17","31","49","42","80","80","73","61","29","48","0","12","0","12","0","12","113","106","17","27","167","97","51","50","63","66","105","130","64","44","16","26","36","42","0","12","16","27","36","42","66","52","0","12","28","33","1500000US150030034121","Block Group 1, Census Tract 34.12, Honolulu County, Hawaii"
"1081","415","542","174","0","12","41","67","0","12","16","26","0","12","0","12","0","12","17","28","51","69","71","79","46","65","70","77","3","8","73","53","30","34","12","21","3","8","14","23","16","26","30","49","0","12","17","28","32","36","539","277","71","116","0","12","0","12","0","12","0","12","18","30","0","12","0","12","98","93","36","41","39","55","42","64","16","25","48","65","29","37","0","12","15","25","64","102","12","22","15","23","34","40","0","12","2","4","1500000US150030034131","Block Group 1, Census Tract 34.13, Honolulu County, Hawaii"
"1269","323","667","201","0","12","0","12","0","12","0","12","0","12","0","12","47","67","17","31","72","89","116","77","23","36","0","12","50","42","0","12","115","66","12","20","14","24","0","12","31","36","48","45","91","109","31","38","0","12","602","166","32","51","17","28","17","28","0","12","0","12","0","12","0","12","0","12","70","49","50","46","33","37","32","37","14","23","30","35","117","96","22","28","34","34","16","25","31","36","49","46","0","12","22","36","16","26","1500000US150030034132","Block Group 2, Census Tract 34.13, Honolulu County, Hawaii"
"642","207","311","116","48","51","13","14","13","14","0","12","25","26","0","12","0","12","0","12","0","12","50","35","54","41","0","12","7","11","0","12","15","17","16","17","0","12","8","12","37","34","7","12","10","16","8","12","0","12","331","106","23","23","6","9","0","12","8","13","0","12","23","33","0","12","0","12","38","39","49","31","39","30","9","14","46","28","17","18","8","12","8","11","4","6","14","16","34","31","0","12","5","8","0","12","0","12","1500000US150030034141","Block Group 1, Census Tract 34.14, Honolulu County, Hawaii"
"1209","216","558","139","0","12","25","28","21","24","0","12","0","12","0","12","0","12","24","26","94","70","72","66","101","44","35","38","51","48","35","39","0","12","12","13","14","17","12","13","22","17","0","12","8","12","8","12","24","21","651","157","45","41","2","16","54","49","49","44","0","12","0","12","8","12","26","29","111","65","68","59","23","25","46","44","8","13","42","38","24","23","0","12","27","39","39","25","26","21","14","17","24","22","7","10","8","13","1500000US150030034142","Block Group 2, Census Tract 34.14, Honolulu County, Hawaii"
"1487","260","810","202","31","32","14","19","58","50","50","51","0","12","0","12","0","12","0","12","138","136","50","41","112","52","38","33","31","27","49","46","30","26","28","34","37","28","0","12","0","12","71","34","30","38","7","11","36","37","677","135","14","21","21","23","39","47","7","11","0","12","0","12","0","12","17","25","33","32","27","30","96","63","61","54","33","29","45","36","61","44","39","50","10","13","1","2","5","7","77","57","33","25","9","11","49","37","1500000US150030034143","Block Group 3, Census Tract 34.14, Honolulu County, Hawaii"
"1050","249","512","138","0","12","6","9","1","2","0","12","0","12","0","12","0","12","23","36","11","16","74","63","34","31","12","18","34","41","13","13","27","36","30","30","43","46","36","31","40","39","8","9","0","12","59","62","61","29","538","140","0","12","0","12","0","12","0","12","5","8","0","12","0","12","0","12","12","18","55","44","29","23","14","15","5","8","5","8","20","28","33","39","107","98","21","27","19","21","19","15","19","21","27","20","148","46","1500000US150030034144","Block Group 4, Census Tract 34.14, Honolulu County, Hawaii"
"684","210","283","106","24","30","0","12","11","24","4","9","0","12","0","12","0","12","4","10","0","12","16","28","0","12","50","46","23","26","26","30","36","45","23","27","0","12","8","12","19","24","16","18","0","12","12","17","11","18","401","133","6","13","28","30","8","13","22","31","0","12","0","12","0","12","0","12","14","21","4","10","18","22","60","53","24","26","28","32","10","15","17","21","21","21","0","12","0","12","9","15","52","56","37","49","43","34","1500000US150030035011","Block Group 1, Census Tract 35.01, Honolulu County, Hawaii"
"1630","320","805","218","11","19","28","44","0","12","9","14","0","12","14","24","0","12","38","43","117","130","80","73","13","23","0","12","87","62","39","39","86","53","17","20","43","38","9","15","0","12","41","32","122","127","31","33","20","22","825","166","30","27","9","17","31","43","31","42","0","12","0","12","0","12","52","41","31","24","37","35","21","33","66","57","107","77","24","22","51","53","33","29","54","37","12","18","36","36","42","27","78","53","30","28","50","31","1500000US150030035012","Block Group 2, Census Tract 35.01, Honolulu County, Hawaii"
"955","271","394","151","0","12","23","41","0","12","0","12","0","12","0","12","0","12","13","21","32","38","0","12","15","24","94","97","73","61","36","35","22","26","29","47","16","26","0","12","14","23","13","20","14","22","0","12","0","12","561","189","15","25","11","20","24","42","11","20","43","54","0","12","0","12","0","12","15","25","46","58","0","12","10","19","36","34","50","50","14","23","0","12","28","34","13","20","13","22","26","30","103","115","0","12","103","83","1500000US150030035031","Block Group 1, Census Tract 35.03, Honolulu County, Hawaii"
"835","207","350","95","36","39","25","35","0","12","14","23","0","12","0","12","0","12","0","12","75","48","26","33","36","40","25","38","0","12","29","35","7","11","21","32","16","25","14","23","7","13","19","24","0","12","0","12","0","12","485","171","11","21","35","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","76","74","25","30","0","12","19","31","80","46","59","69","0","12","30","35","40","48","48","42","0","12","13","21","18","28","31","49","1500000US150030035041","Block Group 1, Census Tract 35.04, Honolulu County, Hawaii"
"2118","532","1153","426","22","36","20","33","0","12","0","12","15","24","0","12","49","78","15","23","252","238","100","99","105","86","39","59","2","13","22","34","136","83","13","22","47","45","17","26","99","125","67","40","18","28","20","32","95","88","965","224","19","32","3","14","29","32","0","12","0","12","0","12","0","12","89","95","0","12","34","40","46","46","21","34","13","21","76","49","124","83","30","25","61","59","22","34","84","77","43","40","18","29","40","46","213","167","1500000US150030035042","Block Group 2, Census Tract 35.04, Honolulu County, Hawaii"
"1314","301","712","185","65","57","49","48","24","39","7","13","0","12","0","12","0","12","0","12","0","12","34","35","48","33","112","80","54","49","41","33","138","70","72","78","9","14","8","15","16","20","27","24","0","12","0","12","8","13","602","165","10","16","30","30","7","14","7","13","13","20","0","12","10","16","19","29","42","39","54","43","35","40","114","78","43","35","95","79","4","13","0","12","45","46","20","23","7","10","30","25","8","15","0","12","9","14","1500000US150030036031","Block Group 1, Census Tract 36.03, Honolulu County, Hawaii"
"1871","642","782","306","0","12","57","92","56","44","0","12","0","12","14","20","0","12","0","12","9","13","40","39","52","50","111","175","84","68","24","29","64","45","14","16","26","39","19","29","13","19","25","23","71","52","49","47","54","45","1089","370","65","96","8","17","51","49","0","12","8","12","0","12","0","12","0","12","37","37","11","18","231","171","69","59","43","46","22","23","68","47","30","21","7","12","9","13","24","22","68","48","109","106","66","51","163","122","1500000US150030036032","Block Group 2, Census Tract 36.03, Honolulu County, Hawaii"
"209","97","126","65","0","12","0","12","0","12","13","20","16","26","0","12","0","12","0","12","4","7","0","12","0","12","0","12","0","12","30","32","0","12","0","12","0","12","29","44","26","36","0","12","0","12","0","12","8","13","83","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","14","8","12","0","12","52","42","0","12","0","12","0","12","8","14","0","12","0","12","1500000US150030036033","Block Group 3, Census Tract 36.03, Honolulu County, Hawaii"
"751","210","431","143","8","14","7","12","0","12","0","12","28","48","0","12","0","12","9","15","10","16","14","22","97","69","13","21","47","38","41","44","1","2","8","14","0","12","20","22","10","14","10","16","30","28","44","54","34","50","320","133","15","23","14","25","11","19","0","12","0","12","0","12","0","12","10","16","15","23","0","12","23","23","9","14","15","25","40","43","15","17","8","15","22","29","10","16","4","6","0","12","11","17","30","47","68","92","1500000US150030036041","Block Group 1, Census Tract 36.04, Honolulu County, Hawaii"
"1487","304","661","197","0","12","0","12","26","24","0","12","0","12","0","12","0","12","0","12","93","88","57","46","56","46","53","62","29","32","77","66","29","26","70","59","0","12","30","49","9","16","48","53","35","31","29","27","20","21","826","180","9","19","5","8","0","12","11","18","39","36","9","15","0","12","14","21","44","38","57","41","61","43","96","70","58","42","29","27","124","72","36","42","5","11","0","12","0","12","120","86","38","34","20","22","51","43","1500000US150030036042","Block Group 2, Census Tract 36.04, Honolulu County, Hawaii"
"914","106","543","92","31","31","23","26","11","17","50","37","5","11","0","12","0","12","9","14","73","59","49","65","4","11","41","30","46","34","38","31","47","38","26","30","9","13","17","21","22","24","9","14","22","22","11","14","0","12","371","90","0","12","26","30","0","12","15","18","0","12","0","12","9","15","0","12","30","29","14","18","15","19","22","22","29","23","31","34","0","12","14","16","40","32","25","25","0","12","22","26","33","25","36","40","10","13","1500000US150030036051","Block Group 1, Census Tract 36.05, Honolulu County, Hawaii"
"1562","527","881","405","157","244","50","52","50","37","52","45","1","5","0","12","0","12","0","12","87","101","114","100","56","85","30","35","46","37","15","17","50","44","16","26","32","26","28","29","0","12","0","12","40","52","3","6","54","64","681","177","0","12","0","12","36","36","23","32","29","30","0","12","31","35","10","19","45","53","72","89","37","57","62","55","31","34","73","50","21","22","10","16","3","7","31","47","36","36","70","59","0","12","46","46","15","24","1500000US150030036061","Block Group 1, Census Tract 36.06, Honolulu County, Hawaii"
"1249","303","626","172","0","12","8","15","64","79","9","12","0","12","0","12","22","37","7","11","19","34","103","133","3","5","53","46","38","37","62","57","71","50","0","12","33","33","7","11","21","20","14","15","14","15","65","55","13","21","623","186","0","12","92","96","7","12","0","12","9","18","0","12","22","37","12","23","28","36","45","46","90","77","48","46","33","34","80","63","66","46","8","16","15","15","22","20","7","10","13","15","15","22","11","18","0","12","1500000US150030036062","Block Group 2, Census Tract 36.06, Honolulu County, Hawaii"
"793","360","370","170","0","12","0","12","0","12","0","12","14","25","0","12","0","12","68","98","18","29","67","60","0","12","40","38","0","12","20","34","26","39","15","24","11","21","56","89","17","28","0","12","18","30","0","12","0","12","423","227","0","12","73","106","0","12","0","12","0","12","0","12","0","12","0","12","88","107","34","41","0","12","57","91","0","12","25","38","28","36","0","12","25","31","54","68","0","12","17","28","0","12","10","17","12","21","1500000US150030037011","Block Group 1, Census Tract 37.01, Honolulu County, Hawaii"
"700","241","456","172","0","12","0","12","0","12","0","12","46","57","19","31","20","23","10","21","130","95","67","77","9","22","1","3","0","12","0","12","51","54","0","12","42","48","17","30","0","12","0","12","23","35","19","30","2","4","244","137","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","41","50","22","36","0","12","0","12","0","12","74","96","68","64","0","12","0","12","0","12","0","12","21","32","0","12","0","12","18","30","1500000US150030037012","Block Group 2, Census Tract 37.01, Honolulu County, Hawaii"
"684","390","405","255","73","115","0","12","0","12","0","12","0","12","0","12","0","12","47","74","110","102","0","12","0","12","0","12","56","89","30","47","0","12","0","12","0","12","0","12","22","35","0","12","67","106","0","12","0","12","279","186","0","12","0","12","0","12","0","12","0","12","0","12","0","12","38","62","47","59","119","175","0","12","0","12","0","12","0","12","36","56","0","12","39","62","0","12","0","12","0","12","0","12","0","12","0","12","1500000US150030037013","Block Group 3, Census Tract 37.01, Honolulu County, Hawaii"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US150030037014","Block Group 4, Census Tract 37.01, Honolulu County, Hawaii"
"424","309","209","234","0","12","97","149","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","47","72","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","26","0","12","0","12","50","74","215","175","0","12","55","86","14","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","99","103","13","25","0","12","0","12","0","12","17","29","0","12","0","12","1","3","16","26","0","12","0","12","0","12","1500000US150030037021","Block Group 1, Census Tract 37.02, Honolulu County, Hawaii"
